url,class,Strength,Intelligence,Willpower,Agility,Speed,Endurance,Personality,Luck
https://www.elderstats.com/character/8,Thief,100,75,88,100,100,90,90,61
https://www.elderstats.com/character/9,Acrobat,255,255,255,255,255,255,255,255
https://www.elderstats.com/character/11,Shadow,100,81,97,100,86,100,39,62
https://www.elderstats.com/character/20,Shadowscale,47,42,30,63,60,33,33,50
https://www.elderstats.com/character/21,Hero,75,30,32,47,45,75,30,50
https://www.elderstats.com/character/22,Warrior,100,37,41,51,44,100,34,51
https://www.elderstats.com/character/24,Battlemage,0,0,0,0,0,0,0,0
https://www.elderstats.com/character/25,Brawler,100,40,30,92,100,100,42,70
https://www.elderstats.com/character/26,Lord Warrior,89,100,89,84,86,100,30,50
https://www.elderstats.com/character/27,Spartan,65,30,32,45,42,65,30,50
https://www.elderstats.com/character/28,Warrior,0,0,0,0,0,0,0,0
https://www.elderstats.com/character/31,Rogue,56,40,40,79,73,53,52,60
https://www.elderstats.com/character/32,Wanderer,0,0,0,0,0,0,0,0
https://www.elderstats.com/character/33,Adventurer,0,0,0,0,0,0,0,0
https://www.elderstats.com/character/34,Mage,0,0,0,0,0,0,0,0
https://www.elderstats.com/character/36,Adventurer,100,49,30,84,100,94,55,50
https://www.elderstats.com/character/37,Thief,0,0,0,0,0,0,0,0
https://www.elderstats.com/character/38,Battlemage,102,102,100,70,90,58,82,51
https://www.elderstats.com/character/39,Warrior,100,42,100,63,72,58,72,49
https://www.elderstats.com/character/40,Assassin,100,100,100,0,0,0,0,0
